Airport1,Airport2,TotalReservations
KLMT,KPDX,1
KLBE,KTMB,1
KLBF,KLSE,1
KLBF,KMKG,1
KLBF,KSDL,1
KLBF,KUDD,1
KLEW,KPHF,1
KLEX,KSRQ,1
KLEX,KTEB,1
KAPF,KOCF,1
KAPF,KORL,1
KAPF,KOSU,1
KAPF,KPBI,1
KAPF,KPDK,1
KAPF,KPHL,1
KAPF,KPHX,1
KAPF,KPNE,1
KAPF,KJKA,1
KAPF,KLAF,1
KAPF,KLAS,1
KAPF,KLEX,1
KAPF,KLUK,1
KAPF,KMEM,1
KAPF,KMQS,1
KAPF,KMSP,1
KMCO,KSDL,1
KAPF,KCRE,1
KAPF,KCVG,1
KAPF,KFHB,1
KAPF,KGFL,1
KAPF,KGYY,1
KAPF,KHDC,1
KAPF,KHKS,1
KMAF,KSGR,1
KMAF,MMSL,1
KMAF,T82,1
KMBT,KTEB,1
KMCC,KOGD,1
KMCO,KMFD,1
KMCO,KORF,1
KMCO,KPWK,1
KMFR,KRDM,1
KMGY,KRME,1
KMGY,KTCL,1
KMHR,MMPR,1
KMHT,TJSJ,1
KMIA,KMIA,1
KMIA,KMSP,1
KMIA,KOGD,1
KMDW,KVNY,1
KMDW,KXNA,1
KMDW,T82,1
KMEM,KMLI,1
KMEM,KRSW,1
KMEM,KTKI,1
KMEM,MYAM,1
KMFE,MMTO,1
KMDW,KMGM,1
KMDW,KPSP,1
KMDW,KRIL,1
KMDW,KRYY,1
KMDW,KSLC,1
KMDW,KSLN,1
KMDW,KSRQ,1
KMDW,KTCL,1
KAPF,KPTK,1
KMCO,KSLC,1
KMCO,KTEB,1
KMCO,KVQQ,1
KMCO,MDPC,1
KMCO,MYAM,1
KMDT,KPSP,1
KMDT,KTEB,1
KMKE,KSUA,1
KMKT,KNEW,1
KMKY,KTTN,1
KMLB,KRIC,1
KMLI,KSLC,1
KMLI,KTYS,1
KMMU,KMTJ,1
KMMU,KOPF,1
KMKC,KPPO,1
KMKC,KSDL,1
KMKC,KSUA,1
KMKC,KTEB,1
KMKC,KUDD,1
KMKC,KUGN,1
KMKE,KMMU,1
KMKE,KMSP,1
KMIA,KWST,1
KMIA,MBPV,1
KMIA,MMUN,1
KMIA,MPMG,1
KMIA,MWCR,1
KMIA,MYLS,1
KMIA,MYNN,1
KMIA,SEQM,1
KMIA,KORL,1
KMIA,KPBI,1
KMIA,KPIE,1
KMIA,KPUB,1
KMIA,KSRQ,1
KMIA,KTPA,1
KMIA,KUUV,1
KMIA,KVQQ,1
KAPC,KJAC,1
KAPC,KMSP,1
KAPC,KOAK,1
KAPC,KPWA,1
KAPC,KSDL,1
KAPC,KTEB,1
KAPC,KVNY,1
KAPF,KBAF,1
KAPA,KPSP,1
KAPA,KSCD,1
KAPA,KSNA,1
KAPA,KSUA,1
KAPA,KTMB,1
KAPA,KTPA,1
KAPA,MMSL,1
KAPC,KBZN,1
KMOB,KRVS,1
KMQJ,KSCD,1
KMQS,KTMB,1
KMQS,KTPA,1
KMRY,KSAN,1
KMRY,KSTL,1
KAPA,KHDN,1
KAPA,KMKC,1
KMMU,KPDK,1
KMMU,KSDM,1
KMMU,KSLC,1
KMMU,KSTS,1
KMMU,KTPA,1
KMMU,MBPV,1
KMMU,MKJS,1
KMMU,TNCA,1
KMTJ,KSGR,1
KMTJ,KSUN,1
KMTJ,KTPA,1
KMTJ,KXNA,1
KMTN,KVNY,1
KMTN,KVRB,1
KMTN,TAPA,1
KMTV,MYNN,1
KMSP,KRSW,1
KMSP,MMSL,1
KMSY,KPDK,1
KMSY,KRIL,1
KMSY,KTEB,1
KMSY,MYEH,1
KMSY,MYNN,1
KMSY,TKPK,1
KMSN,KNEW,1
KMSN,KOMA,1
KMSN,KOPF,1
KMSN,KPNS,1
KMSO,KPSP,1
KMSP,KOMA,1
KMSP,KPSP,1
KMSP,KPUB,1
KAPF,KBLM,1
KAPF,KBOS,1
KAPF,KBWI,1
KAPF,KCHS,1
KAPF,KCLE,1
KAPF,KCOS,1
KMRY,KUDD,1
KMSN,KMSN,1
KOMA,KSDL,1
KONT,KSJC,1
KOPF,KOPF,1
KOPF,KPIT,1
KOPF,KPTK,1
KOPF,KRIL,1
KOPF,MBPV,1
KOPF,TNCM,1
KOCF,KRDU,1
KODO,KSAT,1
KOFP,KSDL,1
KOJC,KUUV,1
KOKC,KRNO,1
KOMA,KOMA,1
KOMA,KPSP,1
KOMA,KPWK,1
KNEW,KTYR,1
KNUQ,KSLC,1
KOAK,KPSP,1
KOAK,KSLC,1
KOAK,KTRM,1
KOAK,KVNY,1
KOAK,MMSD,1
KOCF,KOSU,1
KMVL,KTEB,1
KMVY,KTEB,1
KMYF,KTOA,1
KMYL,KSAN,1
KMYL,KSTS,1
KNEW,KPCW,1
KNEW,KSGR,1
KNEW,KSUA,1
KPBI,KVBT,1
KPBI,KVNY,1
KPBI,TQPF,1
KPDK,KSGJ,1
KPDK,KSRQ,1
KPDK,KSSI,1
KPDK,KTLH,1
KPDK,KTUS,1
KOTH,KSFO,1
KOXC,KSFO,1
KPBI,KSAV,1
KPBI,KSFO,1
KPBI,KSGR,1
KPBI,KSNA,1
KPBI,KTIX,1
KPBI,KTUL,1
KORL,KSNA,1
KORL,KTPA,1
KORL,KTUL,1
KORL,KXNA,1
KORL,MYNN,1
KORL,TLPL,1
KOSU,KRIL,1
KOSU,KTEB,1
KOQU,TJIG,1
KOQU,TXKF,1
KORD,KPSM,1
KORD,KRSW,1
KORF,KSPI,1
KORF,MYAM,1
KORL,KPBI,1
KORL,KPHL,1
KPIT,KSUS,1
KPIT,KTEB,1
KPIT,KTMB,1
KPIT,KTME,1
KPIT,KVRB,1
KPIT,MMMY,1
KPIT,MMTO,1
KPNS,KSUA,1
KPHL,MMSL,1
KPHL,TNCM,1
KPHX,KSLC,1
KPHX,T82,1
KPIE,KSDF,1
KPIE,KXNA,1
KPIE,MBPV,1
KPIE,MYNN,1
KPGA,KPSP,1
KPGA,KVNY,1
KPGD,KWDR,1
KPHF,KPWM,1
KPHL,KPHX,1
KPHL,KRDU,1
KPHL,KSTL,1
KPHL,KTMB,1
KPDK,KVRB,1
KPDK,TAPA,1
KPDX,KPHX,1
KPDX,KSAN,1
KPDX,KSBA,1
KPDX,KSEA,1
KPDX,KSMF,1
KPDX,KSNA,1
KAHN,KJAX,1
KAHN,KPBI,1
KALN,KSDF,1
KAMA,KMSY,1
KAMA,KRIL,1
KAMA,KSAT,1
KAPA,KBCT,1
KAPA,KBNA,1
KAFW,KJAC,1
KAFW,KLAS,1
KAFW,KMCO,1
KAFW,MMSL,1
KAGC,KEWR,1
KAGC,KISM,1
KAGS,KSJC,1
KAGS,KSUA,1
KADS,KLAX,1
KADS,KPWK,1
KADS,KSAT,1
KADS,KSDL,1
KADS,KSRQ,1
KADS,MMSD,1
KAFW,KAPA,1
KAFW,KBNA,1
KPRB,KTIW,1
KPSF,KPVD,1
KPSP,KSTL,1
KPVD,KTMB,1
KPWK,KRIL,1
KADS,KBZN,1
KADS,KHDO,1
KADS,KJWN,1
KROC,KSUA,1
KRST,KSNA,1
KRSW,KSFO,1
KRSW,KSUA,1
KRUT,KSKX,1
KRYY,KSFB,1
KSAF,KSFO,1
KSAN,KSFO,1
KRIL,KSBA,1
KRIL,KSFO,1
KRIL,KSLC,1
KRIL,KTEB,1
KRME,KVRB,1
KRNO,KSAN,1
KRNO,KSJC,1
KROA,KRST,1
KPWM,KTEB,1
KRDG,KRDU,1
KRDM,KSDL,1
KRDM,KSFO,1
KRDU,KSUA,1
KRDU,KVRB,1
KRDU,MYEM,1
KRIL,KSAT,1
KAPA,KBOS,1
KAPA,KHBV,1
KPWK,KRST,1
KPWK,KSBA,1
KPWK,KSRQ,1
KPWK,KTEB,1
KPWK,MYBS,1
KPWK,MYNN,1
KSDL,MMPR,1
KSDL,MMSD,1
KSDL,MMSL,1
KSDM,KSNA,1
KSDM,MMLP,1
KSDM,MMSL,1
KSEA,PHOG,1
KSFB,KTME,1
KSDL,KSMO,1
KSDL,KSNA,1
KSDL,KSUN,1
KSDL,KTEB,1
KSDL,KTEX,1
KSDL,KTKI,1
KSDL,KTMB,1
KSDL,KUDD,1
KSAV,KVNC,1
KSBA,KSDM,1
KSBA,KSGR,1
KSBA,KSRQ,1
KSCK,PHOG,1
KSDL,KSGF,1
KSDL,KSJC,1
KSDL,KSLN,1
KSAN,KSLC,1
KSAN,KSLN,1
KSAN,KTEB,1
KSAT,KSLC,1
KSAT,KTEB,1
KSAT,MMPR,1
KSAT,MMSD,1
KSAV,KTVI,1
KSLC,MMPR,1
KSLC,MMSL,1
KSLK,KTEB,1
KSMF,KSTL,1
KSMX,KTIX,1
KSNA,KSNL,1
KSNA,KTUS,1
KSNA,KUDD,1
KSHD,KTPA,1
KSJC,KTEB,1
KSJC,MMSD,1
KSJC,MMSL,1
KSJC,PHLI,1
KSLC,KSNA,1
KSLC,KTRM,1
KSLC,KVDF,1
KSGR,KSNA,1
KSGR,KTEB,1
KSGR,KTYS,1
KSGR,MMCP,1
KSGR,MYEH,1
KSGU,KSJC,1
KSGU,KSLC,1
KSGU,KTRM,1
KSFO,KSLC,1
KSFO,KSNA,1
KSFO,KSUA,1
KSFO,KVNY,1
KSFO,PHKO,1
KSFO,PHOG,1
KSGF,KSRQ,1
KSGJ,KSPA,1
KTEB,KTME,1
KTEB,KTUS,1
KTEB,KTYS,1
KTEB,KUNV,1
KTEB,KVNY,1
KTEB,LFPB,1
KTEB,MBPV,1
CYYZ,KASE,1
KSUN,KVNY,1
KSUS,KTWF,1
KSUS,MYAF,1
KSVH,KTEB,1
KSVH,KVRB,1
KSZT,KUES,1
KTCL,MYNN,1
KTEB,KTEX,1
KSTL,MYNN,1
KSTS,KTRM,1
KSUA,KYNG,1
KSUA,MMTO,1
KSUA,MROC,1
KSUA,MYAM,1
KSUA,MYNN,1
KSUA,TNCM,1
KADM,KBNA,1
KADS,KAPF,1
KADS,KAUS,1
KSRQ,KTTN,1
KSRQ,MDLR,1
KSTC,KUGN,1
KSTL,KSUA,1
KSTL,KSUS,1
TJSJ,TNCM,1
KBFI,KTIX,1
KBFI,KVNY,1
KBFI,PHOG,1
KBFI,TNCM,1
KBFM,KIAD,1
KBFM,KLIT,1
KBGM,KTPA,1
KVNY,MMPR,1
KVNY,MMSD,1
LTBA,VIDP,1
MBPV,TUPJ,1
MMCZ,MWCR,1
MMGL,MMMY,1
MMGL,MMTO,1
MMSM,TAPA,1
KTEB,TQPF,1
KTMB,KTPA,1
KTMB,KYIP,1
KTMB,MBPV,1
KTPA,MRLB,1
KTUL,MMSL,1
KTUS,MMSD,1
KUDD,KVNY,1
CYYZ,KDTW,1
KTEB,MMSL,1
KTEB,MMTO,1
KTEB,MMUN,1
KTEB,MWCR,1
KTEB,MYEH,1
KTEB,TAPA,1
KTEB,TNCM,1
